Challenge,Type,Location,Target
DockingStation,DockingStation,41 41,40 41
FarmModule,FarmModule,47 11,45 13
GrowingMedium1,GrowingMedium,17 53,17 52
GrowingMedium2,GrowingMedium,27 51,27 50
GrowingMedium3,GrowingMedium,39 33,38 33
GrowingMedium4,GrowingMedium,55 13,54 14
SeedlingContainer1,SeedlingContainer,13 49,15 47
SeedlingContainer2,SeedlingContainer,25 43,26 41
SeedlingContainer3,SeedlingContainer,47 23,45 24
SeedlingContainer4,SeedlingContainer,59 17,58 16
TestSoil1,TestSoil,13 49,15 47
TestSoil2,TestSoil,25 43,26 41
TestSoil3,TestSoil,47 23,45 24
TestSoil4,TestSoil,59 17,58 16
